Scenario_ID,DayofYear,Time(hr),O3 (ppb),CO (ppb),NO (ppb),NOx (ppb),CH3OH (ppb),C2H6 (ppb),ETH (ppb),TOL(ppb),XYL (ppb),ALD2 (ppb),AONE (ppb),PAR (ppb),OLET (ppb),Temperature(K),RH,BC (ug/m3),OA (ug/m3),NH4 (ug/m3),NO3 (ug/m3),SO4 (ug/m3),Chi_a,Chi_o,Chi_h
44,8,9,10.76055059,993.4935205,0.637611948,33.56989492,0.963170439,0.999737682,8.563059698,5.623439826,3.366862166,5.110891103,1.779873719,4.410049338,6.35783965,246.608,0.4312,0.693851168,1.336097518,1.837113107,4.302286874,0.079667729,0.709359935,0.764886479,0.552129808
44,8,10,7.688284819,1106.796475,0.767699158,36.53770971,0.99527302,0.999729746,9.874565217,5.986848329,3.802239334,5.4924202,1.821042326,4.768779552,7.382221582,246.608,0.4312,0.756804953,1.458612811,1.886799822,4.465987391,0.086840893,0.703815646,0.764554138,0.547376185
44,8,11,5.392732569,1148.872562,0.930913576,39.01869677,1.004847983,0.999725875,10.31976073,6.057953134,3.933752877,5.737615161,1.84475431,4.661123179,7.694979234,246.608,0.4312,0.838778362,1.614918517,1.893880121,4.530996483,0.093763823,0.691474273,0.763998018,0.535042468
44,8,12,6.619563296,1099.579693,0.000286972,36.49191356,0.970147231,0.999886973,9.778424348,5.740502168,3.72252845,5.840109244,1.836441159,3.824755331,7.250869563,246.608,0.4312,0.798109402,1.543393918,1.924419755,4.62017338,0.093151276,0.717890434,0.773332074,0.571220589
44,8,13,8.443896863,1052.884738,0.000108387,34.03846625,0.945567032,1.001807618,9.265359032,5.43985503,3.522684975,5.949938954,1.833575682,2.995203742,6.828108174,246.608,0.4312,0.758112063,1.471248037,1.930853485,4.64723101,0.09146154,0.736160168,0.779866113,0.595760122
44,8,14,10.15235886,1008.643272,8.75E-05,31.66988326,0.922476784,1.00419347,8.778971722,5.155043175,3.333430399,6.044024604,1.829303416,2.231641279,6.425428536,246.608,0.4312,0.722643992,1.407572633,1.954857122,4.715532568,0.090118125,0.75339499,0.786244958,0.618307847
44,8,15,11.77771458,966.7216085,7.82E-05,29.41640377,0.898789898,1.006334962,8.318471264,4.885535742,3.154891926,6.095999851,1.820831013,1.582165907,6.044271983,246.608,0.4312,0.686330281,1.341942589,1.931268301,4.665139751,0.089063845,0.765542649,0.791694814,0.634935565
44,8,16,13.33992134,926.9954175,7.40E-05,27.29246145,0.873746696,1.008054185,7.882854339,4.630696909,2.986885231,6.095994374,1.807035241,1.065969964,5.684989507,246.608,0.4312,0.64821416,1.271214283,1.835004862,4.441965191,0.086463295,0.768383381,0.792216294,0.638337385
44,8,17,14.84946298,889.3486432,7.29E-05,25.30202566,0.847192691,1.009318996,7.470967928,4.389817318,2.828992143,6.044487391,1.787966084,0.681883698,5.347125824,246.608,0.4312,0.625255203,1.22760661,1.744188458,4.242319136,0.083569966,0.771160313,0.794749239,0.64339516
44,8,18,16.31054098,853.6724759,7.36E-05,23.44242344,0.819356304,1.010163073,7.081574365,4.162147956,2.680642678,5.948030491,1.764370228,0.416188339,5.02969837,246.608,0.4312,0.595463507,1.171869279,1.68106678,4.109543193,0.081118964,0.773899954,0.795363654,0.647653743
44,8,19,17.72372549,819.864464,7.57E-05,21.70730148,0.790666721,1.010651986,6.713410382,3.946931458,2.541189971,5.816014432,1.737317461,0.248962521,4.731439942,246.608,0.4312,0.566794831,1.1176166,1.623260025,3.986452666,0.078154778,0.775345874,0.794946799,0.64993699
44,8,20,19.08794479,787.82779,7.84E-05,20.08876005,0.761616707,1.010861889,6.365234642,3.743427552,2.409970983,5.658411881,1.70793971,0.15866488,4.450988038,246.608,0.4312,0.546727252,1.078659979,1.570104261,3.866004789,0.074905999,0.775256716,0.794385336,0.650052966
44,8,21,20.40181826,757.4707098,8.14E-05,18.57873094,0.732671397,1.01086598,6.035861012,3.550930945,2.286349528,5.484380658,1.677270366,0.12510037,4.187015086,246.608,0.4312,0.514615988,1.016448546,1.48912609,3.673868396,0.071026069,0.776462141,0.794918099,0.652641532
44,8,22,21.66441849,728.7061322,8.42E-05,17.16973346,0.704218152,1.010727086,5.724177613,3.368781513,2.169741703,5.30155331,1.64616323,0.1312814,3.938303396,246.608,0.4312,0.48353806,0.956462453,1.432718504,3.522969557,0.067476708,0.777105039,0.793368087,0.652563654
44,8,23,22.87559365,701.4513083,8.65E-05,15.85517339,0.676548438,1.010494825,5.429153921,3.19636796,2.059626483,5.115820225,1.61526862,0.164033251,3.703775741,246.608,0.4312,0.464453696,0.919242854,1.401031156,3.419306759,0.064509751,0.782378175,0.796300484,0.659190809
44,8,24,24.03599485,675.6275973,8.81E-05,14.6293494,0.649860863,1.010205828,5.149839361,3.033126799,1.955545732,4.931424558,1.585045846,0.213508655,3.482495485,246.608,0.4312,0.43323898,0.85927683,1.346153424,3.268973097,0.061614447,0.78660811,0.79736195,0.66450202
49,147,0,2.716373682,669.5333059,0.00348951,72.73477899,0.43984286,0.995667419,10.7917561,2.970716779,2.437330899,4.660560764,4.186262493,55.85035674,3.743366538,296.059,0.4972,0.668900024,0.818168287,2.038611285,6.756945171,0.248666232,0.745988374,0.681219039,0.509348175
49,147,1,4.503734859,645.383915,0.000365432,67.9186685,0.429865122,0.995936161,10.22902225,2.819713181,2.314144113,4.525042337,4.019298486,53.0665307,3.519697162,296.059,0.4972,0.648675614,0.79121582,1.89251928,6.265164686,0.237292605,0.737383343,0.678654745,0.498960889
49,147,2,5.960607456,622.5078042,0.00047889,63.09665563,0.435746102,0.996203249,9.693495802,2.676568982,2.197172654,4.428125592,3.861130395,50.52152607,3.282605807,296.059,0.4972,0.60812607,0.741411584,1.794290044,5.934019361,0.229727457,0.74047799,0.681634951,0.503048917
49,147,3,7.18731521,600.8380954,0.000683005,58.37514655,0.435521659,0.996433459,9.184024172,2.540802638,2.085863118,4.31228031,3.711430518,48.06840083,3.030543783,296.059,0.4972,0.56862421,0.692532175,1.657050775,5.47250863,0.218667084,0.737567085,0.680416369,0.499023247
49,147,4,8.255133223,580.3116145,0.000845153,53.87870331,0.426013937,0.996633554,8.699563728,2.412006794,1.979853333,4.179854523,3.56987141,45.65320582,2.763548979,296.059,0.4972,0.531227845,0.649409655,1.521251288,5.016338378,0.208821132,0.738674065,0.685407699,0.504193836
49,147,5,9.213459934,560.8679936,0.000888042,49.71180721,0.413101279,0.996811793,8.239075028,2.289810887,1.878851513,4.044907333,3.436048237,43.30597564,2.486914178,296.059,0.4972,0.510828119,0.626545054,1.415594867,4.658841447,0.202610005,0.735552675,0.68700232,0.503276674
49,147,6,10.09580259,542.4496793,0.000864943,45.89334344,0.399759629,0.996973622,7.801523703,2.173870777,1.782604642,3.913171025,3.30954306,41.05633287,2.209136949,296.059,0.4972,0.472035556,0.583014726,1.286658623,4.227077374,0.192124738,0.734844265,0.689475213,0.504983583
49,147,7,10.92485537,525.0021487,0.000821599,42.39684951,0.386726337,0.997121322,7.385913283,2.063868614,1.690900574,3.783841198,3.189945984,38.9138051,1.938395198,296.059,0.4972,0.45146341,0.560137146,1.154214541,3.784368424,0.180703965,0.722425247,0.686047051,0.49155706
49,147,8,13.33247594,508.4733582,0.150019616,42.44082517,0.374369413,0.99725451,6.990761507,1.959424148,1.603277334,3.658745199,3.076930373,36.8879416,1.688037501,296.059,0.4972,0.443575663,0.553403149,1.066326858,3.487119057,0.174986434,0.715229121,0.688053783,0.487579203
49,147,9,27.40752488,492.9500589,9.291721102,43.14183438,0.361495397,0.997091065,6.544113194,1.847051974,1.476498549,3.557229884,2.990585068,34.91509949,1.511289251,296.059,0.4972,0.417265569,0.525045433,1.012636951,3.304246861,0.171765059,0.716590454,0.688761516,0.48966376
49,147,10,33.62943748,478.6213422,10.96321515,40.30418364,0.349068975,0.996610892,6.052946843,1.726982851,1.315204653,3.464356371,2.929065065,32.94498372,1.294130764,296.059,0.4972,0.391300024,0.500766538,0.996106119,3.244781624,0.171025717,0.740765336,0.69893796,0.524519667
49,147,11,39.10463231,465.3548895,10.64047755,37.11283076,0.336736347,0.995685149,5.506820939,1.595633345,1.11624034,3.36969846,2.898648462,30.95866528,1.042234451,296.059,0.4972,0.345738316,0.4595377,1.05807983,3.442096256,0.178733489,0.78354612,0.71606578,0.582215277
49,147,12,44.58603296,452.9458174,9.456989542,33.67630391,0.32441587,0.994317937,4.924677609,1.456135095,0.900976061,3.246074742,2.895455982,28.97682225,0.787647073,296.059,0.4972,0.295081367,0.42095995,1.172928342,3.809773954,0.19620919,0.830552928,0.741843153,0.648047766
49,147,13,49.94052552,441.1974617,7.982878339,30.21372171,0.312236741,0.992655399,4.346999915,1.31665996,0.700686249,3.077173872,2.907087222,27.04894389,0.566860836,296.059,0.4972,0.24959607,0.389941142,1.265381848,4.095603747,0.218209175,0.8598273,0.754007751,0.687700176
49,147,14,54.69129309,429.9567661,6.512750477,26.98737178,0.300471031,0.990951367,3.818164133,1.186943116,0.538466136,2.874223309,2.917148664,25.23511651,0.39999354,296.059,0.4972,0.228855205,0.390875883,1.346555209,4.331890119,0.249332242,0.876870936,0.76317099,0.715115341
49,147,15,58.28568836,419.126883,5.145001543,24.23112495,0.289457055,0.989522699,3.373420789,1.075530048,0.422785931,2.668755257,2.909618122,23.59362824,0.287771238,296.059,0.4972,0.201899886,0.375642093,1.337328647,4.268696557,0.272473995,0.888985791,0.772076472,0.736015355
